"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
157,118,"KEN","Kenya",5,"Elgeyo-Marakwet",33,"Marakwet East",157,"Sambirir",732,"","Ward","Ward","",""
158,118,"KEN","Kenya",5,"Elgeyo-Marakwet",34,"Marakwet West",158,"Arror",740,"","Ward","Ward","",""
159,118,"KEN","Kenya",5,"Elgeyo-Marakwet",34,"Marakwet West",159,"Cherang'Any/Chebororwa",737,"","Ward","Ward","",""
160,118,"KEN","Kenya",5,"Elgeyo-Marakwet",34,"Marakwet West",160,"Kapsowar",739,"","Ward","Ward","",""
161,118,"KEN","Kenya",5,"Elgeyo-Marakwet",34,"Marakwet West",161,"Moiben/Kuserwo",738,"","Ward","Ward","",""
162,118,"KEN","Kenya",5,"Elgeyo-Marakwet",34,"Marakwet West",162,"Sengwer",736,"","Ward","Ward","",""
163,118,"KEN","Kenya",6,"Embu",35,"Manyatta",163,"Gaturi North",317,"","Ward","Ward","",""
164,118,"KEN","Kenya",6,"Embu",35,"Manyatta",164,"Gaturi South",316,"","Ward","Ward","",""
165,118,"KEN","Kenya",6,"Embu",35,"Manyatta",165,"Kirimari",315,"","Ward","Ward","",""
166,118,"KEN","Kenya",6,"Embu",35,"Manyatta",166,"Kithimu",312,"","Ward","Ward","",""
167,118,"KEN","Kenya",6,"Embu",35,"Manyatta",167,"Mbeti North",314,"","Ward","Ward","",""
168,118,"KEN","Kenya",6,"Embu",35,"Manyatta",168,"Nginda",313,"","Ward","Ward","",""
169,118,"KEN","Kenya",6,"Embu",35,"Manyatta",169,"Ruguru/Ngandori",311,"","Ward","Ward","",""
170,118,"KEN","Kenya",6,"Embu",36,"Mbeere North",170,"Evurore",330,"","Ward","Ward","",""
171,118,"KEN","Kenya",6,"Embu",36,"Mbeere North",171,"Muminji",329,"","Ward","Ward","",""
172,118,"KEN","Kenya",6,"Embu",36,"Mbeere North",172,"Nthawa",328,"","Ward","Ward","",""
173,118,"KEN","Kenya",6,"Embu",37,"Mbeere South",173,"Kiambere",327,"","Ward","Ward","",""
174,118,"KEN","Kenya",6,"Embu",37,"Mbeere South",174,"Makima",324,"","Ward","Ward","",""
175,118,"KEN","Kenya",6,"Embu",37,"Mbeere South",175,"Mavuria",326,"","Ward","Ward","",""
176,118,"KEN","Kenya",6,"Embu",37,"Mbeere South",176,"Mbeti South",325,"","Ward","Ward","",""
177,118,"KEN","Kenya",6,"Embu",37,"Mbeere South",177,"Mwea",323,"","Ward","Ward","",""
178,118,"KEN","Kenya",6,"Embu",38,"Runyenjes",178,"Central  Ward",319,"","Ward","Ward","",""
179,118,"KEN","Kenya",6,"Embu",38,"Runyenjes",179,"Kagaari North",320,"","Ward","Ward","",""
180,118,"KEN","Kenya",6,"Embu",38,"Runyenjes",180,"Kagaari South",318,"","Ward","Ward","",""
181,118,"KEN","Kenya",6,"Embu",38,"Runyenjes",181,"Kyeni North",321,"","Ward","Ward","",""
182,118,"KEN","Kenya",6,"Embu",38,"Runyenjes",182,"Kyeni South",322,"","Ward","Ward","",""
183,118,"KEN","Kenya",7,"Garissa",39,"Balambala",183,"Balambala",135,"","Ward","Ward","",""
184,118,"KEN","Kenya",7,"Garissa",39,"Balambala",184,"Danyere",136,"","Ward","Ward","",""
185,118,"KEN","Kenya",7,"Garissa",39,"Balambala",185,"Jara Jara",137,"","Ward","Ward","",""
186,118,"KEN","Kenya",7,"Garissa",39,"Balambala",186,"Saka",138,"","Ward","Ward","",""
187,118,"KEN","Kenya",7,"Garissa",39,"Balambala",187,"Sankuri",139,"","Ward","Ward","",""
188,118,"KEN","Kenya",7,"Garissa",40,"Daadab",188,"Abakaile",151,"","Ward","Ward","",""
189,118,"KEN","Kenya",7,"Garissa",40,"Daadab",189,"Dadaab",147,"","Ward","Ward","",""
190,118,"KEN","Kenya",7,"Garissa",40,"Daadab",190,"Damajale",149,"","Ward","Ward","",""
191,118,"KEN","Kenya",7,"Garissa",40,"Daadab",191,"Dertu",146,"","Ward","Ward","",""
192,118,"KEN","Kenya",7,"Garissa",40,"Daadab",192,"Labasigale",148,"","Ward","Ward","",""
193,118,"KEN","Kenya",7,"Garissa",40,"Daadab",193,"Liboi",150,"","Ward","Ward","",""
194,118,"KEN","Kenya",7,"Garissa",41,"Fafi",194,"Bura",152,"","Ward","Ward","",""
195,118,"KEN","Kenya",7,"Garissa",41,"Fafi",195,"Dekaharia",153,"","Ward","Ward","",""
196,118,"KEN","Kenya",7,"Garissa",41,"Fafi",196,"Fafi",155,"","Ward","Ward","",""
197,118,"KEN","Kenya",7,"Garissa",41,"Fafi",197,"Jarajila",154,"","Ward","Ward","",""
198,118,"KEN","Kenya",7,"Garissa",41,"Fafi",198,"Nanighi",156,"","Ward","Ward","",""
199,118,"KEN","Kenya",7,"Garissa",42,"Garissa Township",199,"Galbet",132,"","Ward","Ward","",""
200,118,"KEN","Kenya",7,"Garissa",42,"Garissa Township",200,"Iftin",134,"","Ward","Ward","",""
201,118,"KEN","Kenya",7,"Garissa",42,"Garissa Township",201,"Township",133,"","Ward","Ward","",""
202,118,"KEN","Kenya",7,"Garissa",42,"Garissa Township",202,"Waberi",131,"","Ward","Ward","",""
203,118,"KEN","Kenya",7,"Garissa",43,"Ijara",203,"Hulugho",157,"","Ward","Ward","",""
204,118,"KEN","Kenya",7,"Garissa",43,"Ijara",204,"Ijara",159,"","Ward","Ward","",""
205,118,"KEN","Kenya",7,"Garissa",43,"Ijara",205,"Masalani",160,"","Ward","Ward","",""
206,118,"KEN","Kenya",7,"Garissa",43,"Ijara",206,"Sangailu",158,"","Ward","Ward","",""
207,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",207,"Baraki",145,"","Ward","Ward","",""
208,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",208,"Benane",141,"","Ward","Ward","",""
209,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",209,"Goreale",142,"","Ward","Ward","",""
210,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",210,"Maalimin",143,"","Ward","Ward","",""
211,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",211,"Modogashe",140,"","Ward","Ward","",""
212,118,"KEN","Kenya",7,"Garissa",44,"Lagdera",212,"Sabena",144,"","Ward","Ward","",""
213,118,"KEN","Kenya",8,"Homa Bay",45,"?6",213,"?6",0,"","Ward","Ward","",""
214,118,"KEN","Kenya",8,"Homa Bay",46,"Homa Bay Town",214,"Homa Bay Arujo",1242,"","Ward","Ward","",""
215,118,"KEN","Kenya",8,"Homa Bay",46,"Homa Bay Town",215,"Homa Bay Central",1241,"","Ward","Ward","",""
216,118,"KEN","Kenya",8,"Homa Bay",46,"Homa Bay Town",216,"Homa Bay East",1244,"","Ward","Ward","",""
